ba_code,metric,scenario,source_path,wind_capacity_mw,solar_capacity_mw,total_capacity_mw,installed_wind_capacity_mw,installed_solar_capacity_mw,installed_total_capacity_mw,ba_type,has_load,has_wind,has_solar,has_renewable,peak_load_mw,average_load_mw
ROE,net_load_mw__split_w25_s75,split_w25_s75,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/ROE_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,24226.45,72679.35,96905.8,51006.4,45899.4,96905.8,load + wind + solar,True,True,True,True,447684.96,260074.906357
ROE,renew_cf_equiv__split_w25_s75,split_w25_s75,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/ROE_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,24226.45,72679.35,96905.8,51006.4,45899.4,96905.8,load + wind + solar,True,True,True,True,447684.96,260074.906357
ROE,net_load_mw__split_w50_s50,split_w50_s50,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/ROE_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,48452.9,48452.9,96905.8,51006.4,45899.4,96905.8,load + wind + solar,True,True,True,True,447684.96,260074.906357
ROE,renew_cf_equiv__split_w50_s50,split_w50_s50,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/ROE_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,48452.9,48452.9,96905.8,51006.4,45899.4,96905.8,load + wind + solar,True,True,True,True,447684.96,260074.906357
ROE,net_load_mw__split_w75_s25,split_w75_s25,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/ROE_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,72679.35,24226.45,96905.8,51006.4,45899.4,96905.8,load + wind + solar,True,True,True,True,447684.96,260074.906357
ROE,renew_cf_equiv__split_w75_s25,split_w75_s25,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/ROE_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,72679.35,24226.45,96905.8,51006.4,45899.4,96905.8,load + wind + solar,True,True,True,True,447684.96,260074.906357
ROE,net_load_mw__split_w100_s00,split_w100_s00,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/ROE_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,96905.8,0.0,96905.8,51006.4,45899.4,96905.8,load + wind + solar,True,True,True,True,447684.96,260074.906357
ROE,renew_cf_equiv__split_w100_s00,split_w100_s00,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/ROE_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,96905.8,0.0,96905.8,51006.4,45899.4,96905.8,load + wind + solar,True,True,True,True,447684.96,260074.906357
WECC,load_mw,installed_2024,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/WECC_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,31300.5,40775.9,72076.4,31300.5,40775.9,72076.4,load + wind + solar,True,True,True,True,145029.98,82676.1243
WECC,net_load_mw__installed_2024,installed_2024,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/WECC_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,31300.5,40775.9,72076.4,31300.5,40775.9,72076.4,load + wind + solar,True,True,True,True,145029.98,82676.1243
WECC,renew_cf_equiv__installed_2024,installed_2024,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/WECC_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,31300.5,40775.9,72076.4,31300.5,40775.9,72076.4,load + wind + solar,True,True,True,True,145029.98,82676.1243
WECC,net_load_mw__split_w00_s100,split_w00_s100,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/WECC_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,0.0,72076.4,72076.4,31300.5,40775.9,72076.4,load + wind + solar,True,True,True,True,145029.98,82676.1243
WECC,renew_cf_equiv__split_w00_s100,split_w00_s100,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/WECC_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,0.0,72076.4,72076.4,31300.5,40775.9,72076.4,load + wind + solar,True,True,True,True,145029.98,82676.1243
WECC,net_load_mw__split_w25_s75,split_w25_s75,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/WECC_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,18019.1,54057.3,72076.4,31300.5,40775.9,72076.4,load + wind + solar,True,True,True,True,145029.98,82676.1243
WECC,renew_cf_equiv__split_w25_s75,split_w25_s75,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/WECC_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,18019.1,54057.3,72076.4,31300.5,40775.9,72076.4,load + wind + solar,True,True,True,True,145029.98,82676.1243
WECC,net_load_mw__split_w50_s50,split_w50_s50,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/WECC_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,36038.2,36038.2,72076.4,31300.5,40775.9,72076.4,load + wind + solar,True,True,True,True,145029.98,82676.1243
WECC,renew_cf_equiv__split_w50_s50,split_w50_s50,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/WECC_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,36038.2,36038.2,72076.4,31300.5,40775.9,72076.4,load + wind + solar,True,True,True,True,145029.98,82676.1243
WECC,net_load_mw__split_w75_s25,split_w75_s25,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/WECC_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,54057.3,18019.1,72076.4,31300.5,40775.9,72076.4,load + wind + solar,True,True,True,True,145029.98,82676.1243
WECC,renew_cf_equiv__split_w75_s25,split_w75_s25,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/WECC_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,54057.3,18019.1,72076.4,31300.5,40775.9,72076.4,load + wind + solar,True,True,True,True,145029.98,82676.1243
WECC,net_load_mw__split_w100_s00,split_w100_s00,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/WECC_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,72076.4,0.0,72076.4,31300.5,40775.9,72076.4,load + wind + solar,True,True,True,True,145029.98,82676.1243
WECC,renew_cf_equiv__split_w100_s00,split_w100_s00,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/WECC_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,72076.4,0.0,72076.4,31300.5,40775.9,72076.4,load + wind + solar,True,True,True,True,145029.98,82676.1243
