state_name,state_abbreviation,state_FIPS,county_name,county_FIPS,county_pop_lat,county_pop_lon,wtk_gid,wtk_lat,wtk_lon,nsrdb_gid,nsrdb_lat,nsrdb_lon,bchrrr_gid,bchrrr_lat,bchrrr_lon,sup3rcc_gid,sup3rcc_lat,sup3rcc_lon
Montana,MT,30000,Hill County,30041,48.511679,-109.767074,745398,48.52178,-109.762314,373593,48.53,-109.78,745398,48.52178,-109.762314,100748,48.515575,-109.755
Montana,MT,30000,Jefferson County,30043,46.268427,-112.045111,646583,46.260204,-112.04419,323385,46.25,-112.06,646583,46.260204,-112.04419,174447,46.272606,-112.05
Montana,MT,30000,Judith Basin County,30045,47.094037,-110.171727,718922,47.092968,-110.17543,364795,47.09,-110.18,718922,47.092968,-110.17543,147939,47.080074,-110.16
Montana,MT,30000,Lake County,30047,47.608398,-114.123216,589194,47.61125,-114.11951,280361,47.61,-114.14,589194,47.61125,-114.11951,130151,47.61839,-114.12
Montana,MT,30000,Lewis and Clark County,30049,46.646708,-112.019796,651465,46.643837,-112.01926,324245,46.65,-112.02,651465,46.643837,-112.01926,162648,46.631477,-112.005
Montana,MT,30000,Liberty County,30051,48.538044,-110.985222,704848,48.54363,-110.99625,347004,48.53,-110.98,704848,48.54363,-110.99625,99246,48.560432,-110.97
Montana,MT,30000,Lincoln County,30053,48.553308,-115.425496,556035,48.550457,-115.4292,254666,48.57,-115.42,556035,48.550457,-115.4292,99147,48.560432,-115.425
Montana,MT,30000,McCone County,30055,47.569722,-105.638843,888412,47.572365,-105.64108,468169,47.57,-105.62,888412,47.572365,-105.64108,131814,47.573532,-105.66
Montana,MT,30000,Madison County,30057,45.419015,-111.923035,642649,45.423763,-111.91051,326017,45.41,-111.94,642649,45.423763,-111.91051,202475,45.42028,-111.915
Montana,MT,30000,Meagher County,30059,46.529825,-110.881615,689630,46.53078,-110.88246,348855,46.53,-110.9,689630,46.53078,-110.88246,165623,46.54176,-110.88
Montana,MT,30000,Mineral County,30061,47.182753,-114.894839,556937,47.180447,-114.90227,265046,47.17,-114.9,556937,47.180447,-114.90227,144884,47.169796,-114.885
Montana,MT,30000,Missoula County,30063,46.875535,-114.021476,584275,46.882572,-114.013824,282776,46.89,-114.02,584275,46.882572,-114.013824,155228,46.855778,-114.03
Montana,MT,30000,Musselshell County,30065,46.420108,-108.482978,771252,46.417812,-108.493515,401911,46.41,-108.5,771252,46.417812,-108.493515,170101,46.40718,-108.495
Montana,MT,30000,Park County,30067,45.604897,-110.5968,690524,45.600185,-110.60535,356069,45.61,-110.58,690524,45.600185,-110.60535,196604,45.599716,-110.61
Montana,MT,30000,Petroleum County,30069,47.012153,-108.31783,782072,47.001526,-108.32408,406297,47.01,-108.3,782072,47.001526,-108.32408,150930,46.990356,-108.315
Montana,MT,30000,Phillips County,30071,48.367246,-107.866055,809088,48.36557,-107.87735,416051,48.37,-107.86,809088,48.36557,-107.87735,105215,48.380997,-107.865
