county_fips,state_name,state_abbreviation,county_name,population_year,population,county_pop_lat,county_pop_lon
05037,Arkansas,AR,Cross County,2020,16142,35.251667,-90.77742
05039,Arkansas,AR,Dallas County,2020,6802,33.864882,-92.525307
05041,Arkansas,AR,Desha County,2020,11110,33.76803,-91.415222
05043,Arkansas,AR,Drew County,2020,17977,33.627329,-91.784077
05045,Arkansas,AR,Faulkner County,2020,126919,35.105697,-92.406058
05047,Arkansas,AR,Franklin County,2020,17897,35.442157,-93.890972
05049,Arkansas,AR,Fulton County,2020,12381,36.375655,-91.766785
05051,Arkansas,AR,Garland County,2020,99789,34.505751,-93.080682
05053,Arkansas,AR,Grant County,2020,18449,34.311672,-92.412589
05055,Arkansas,AR,Greene County,2020,45597,36.071542,-90.522548
05057,Arkansas,AR,Hempstead County,2020,21253,33.698177,-93.620817
05059,Arkansas,AR,Hot Spring County,2020,33787,34.35357,-92.895471
05061,Arkansas,AR,Howard County,2020,13109,33.981464,-93.908993
05063,Arkansas,AR,Independence County,2020,37757,35.750729,-91.607336
05065,Arkansas,AR,Izard County,2020,13613,36.121499,-91.911713
05067,Arkansas,AR,Jackson County,2020,16636,35.623062,-91.246445
05069,Arkansas,AR,Jefferson County,2020,65377,34.234814,-92.045125
05071,Arkansas,AR,Johnson County,2020,26513,35.476552,-93.47314
05073,Arkansas,AR,Lafayette County,2020,6596,33.278875,-93.557654
05075,Arkansas,AR,Lawrence County,2020,16410,36.070843,-91.064457
05077,Arkansas,AR,Lee County,2020,8513,34.787429,-90.769609
05079,Arkansas,AR,Lincoln County,2020,12944,33.973434,-91.74584
05081,Arkansas,AR,Little River County,2020,12180,33.700349,-94.198716
05083,Arkansas,AR,Logan County,2020,21410,35.227671,-93.768166
05085,Arkansas,AR,Lonoke County,2020,73921,34.916984,-91.973962
05087,Arkansas,AR,Madison County,2020,16644,36.062935,-93.757627
05089,Arkansas,AR,Marion County,2020,16790,36.284395,-92.660217
05091,Arkansas,AR,Miller County,2020,43177,33.402395,-93.98723
05093,Arkansas,AR,Mississippi County,2020,40066,35.843368,-90.001543
05095,Arkansas,AR,Monroe County,2020,6584,34.777057,-91.221507
05097,Arkansas,AR,Montgomery County,2020,9006,34.514568,-93.62248
05099,Arkansas,AR,Nevada County,2020,8099,33.725543,-93.359458
05101,Arkansas,AR,Newton County,2020,7602,35.98261,-93.16563
05103,Arkansas,AR,Ouachita County,2020,23167,33.573845,-92.838643
05105,Arkansas,AR,Perry County,2020,10327,34.998712,-92.77765
05107,Arkansas,AR,Phillips County,2020,17299,34.530916,-90.703788
05109,Arkansas,AR,Pike County,2020,10643,34.186356,-93.626179
05111,Arkansas,AR,Poinsett County,2020,23283,35.604751,-90.558396
05113,Arkansas,AR,Polk County,2020,19707,34.522847,-94.25787
05115,Arkansas,AR,Pope County,2020,64334,35.309055,-93.096832
05117,Arkansas,AR,Prairie County,2020,7966,34.863817,-91.540542
05119,Arkansas,AR,Pulaski County,2020,392980,34.775252,-92.315038
05121,Arkansas,AR,Randolph County,2020,18247,36.302138,-90.989592
05123,Arkansas,AR,St. Francis County,2020,24682,35.016355,-90.774943
05125,Arkansas,AR,Saline County,2020,123968,34.596992,-92.546134
05127,Arkansas,AR,Scott County,2020,10164,34.904214,-94.097033
05129,Arkansas,AR,Searcy County,2020,7842,35.923072,-92.660703
05131,Arkansas,AR,Sebastian County,2020,127590,35.31872,-94.354818
05133,Arkansas,AR,Sevier County,2020,16702,34.015318,-94.303814
05135,Arkansas,AR,Sharp County,2020,17424,36.178092,-91.519488
05137,Arkansas,AR,Stone County,2020,12674,35.855716,-92.13383
05139,Arkansas,AR,Union County,2020,38219,33.207421,-92.65201
05141,Arkansas,AR,Van Buren County,2020,16541,35.56809,-92.420169
05143,Arkansas,AR,Washington County,2020,243216,36.095922,-94.1723
05145,Arkansas,AR,White County,2020,78729,35.239408,-91.773506
05147,Arkansas,AR,Woodruff County,2020,6264,35.233159,-91.251064
05149,Arkansas,AR,Yell County,2020,21181,35.127752,-93.282847
06001,California,CA,Alameda County,2020,1662323,37.706599,-122.098903
06003,California,CA,Alpine County,2020,1119,38.728486,-119.847703
06005,California,CA,Amador County,2020,40083,38.395901,-120.777976
06007,California,CA,Butte County,2020,212744,39.658924,-121.726705
06009,California,CA,Calaveras County,2020,46308,38.157347,-120.645137
06011,California,CA,Colusa County,2020,21558,39.153459,-122.083843
06013,California,CA,Contra Costa County,2020,1152333,37.935011,-122.024971
06015,California,CA,Del Norte County,2020,27968,41.790836,-124.164248
06017,California,CA,El Dorado County,2020,192925,38.741048,-120.761058
06019,California,CA,Fresno County,2020,1000918,36.743849,-119.76524
06021,California,CA,Glenn County,2020,28283,39.665748,-122.179236
06023,California,CA,Humboldt County,2020,134977,40.757637,-124.08815
06025,California,CA,Imperial County,2020,180267,32.841594,-115.540165
06027,California,CA,Inyo County,2020,18046,37.171422,-118.270016
06029,California,CA,Kern County,2020,901362,35.36981,-118.94199
06031,California,CA,Kings County,2020,152692,36.252658,-119.726823
06033,California,CA,Lake County,2020,64479,38.976227,-122.733056
06035,California,CA,Lassen County,2020,30016,40.393745,-120.584864
06037,California,CA,Los Angeles County,2020,9943046,34.067887,-118.246059
06039,California,CA,Madera County,2020,157761,37.037074,-120.009633
06041,California,CA,Marin County,2020,257332,37.986472,-122.546711
06043,California,CA,Mariposa County,2020,17160,37.532076,-119.97151
06045,California,CA,Mendocino County,2020,86061,39.285647,-123.394392
06047,California,CA,Merced County,2020,279252,37.274813,-120.628831
06049,California,CA,Modoc County,2020,8763,41.521667,-120.631306
06051,California,CA,Mono County,2020,14534,37.773019,-118.971511
06053,California,CA,Monterey County,2020,430906,36.614654,-121.646927
06055,California,CA,Napa County,2020,135965,38.325096,-122.320061
06057,California,CA,Nevada County,2020,99606,39.220022,-120.914928
06059,California,CA,Orange County,2020,3166857,33.732684,-117.858872
06061,California,CA,Placer County,2020,402950,38.83971,-121.198083
06063,California,CA,Plumas County,2020,18967,39.981153,-120.822587
06065,California,CA,Riverside County,2020,2489188,33.799275,-117.077249
06067,California,CA,Sacramento County,2020,1559146,38.568338,-121.381195
06069,California,CA,San Benito County,2020,64055,36.843074,-121.402638
06071,California,CA,San Bernardino County,2020,2189183,34.190969,-117.359506
06073,California,CA,San Diego County,2020,3332427,32.884413,-117.112495
06075,California,CA,San Francisco County,2020,866606,37.760569,-122.436498
06077,California,CA,San Joaquin County,2020,767967,37.924541,-121.302258
06079,California,CA,San Luis Obispo County,2020,282249,35.341823,-120.665935
06081,California,CA,San Mateo County,2020,758308,37.563577,-122.339969
06083,California,CA,Santa Barbara County,2020,444766,34.64513,-120.103755
06085,California,CA,Santa Clara County,2020,1907105,37.315517,-121.911202
06087,California,CA,Santa Cruz County,2020,269925,36.986339,-121.938805
06089,California,CA,Shasta County,2020,179027,40.578339,-122.299957
06091,California,CA,Sierra County,2020,2920,39.607184,-120.421684
06093,California,CA,Siskiyou County,2020,43245,41.572748,-122.493846
06095,California,CA,Solano County,2020,446935,38.236295,-122.067108
06097,California,CA,Sonoma County,2020,489819,38.412281,-122.720506
06099,California,CA,Stanislaus County,2020,550081,37.618449,-120.955875
06101,California,CA,Sutter County,2020,96385,39.137197,-121.64399
06103,California,CA,Tehama County,2020,64494,40.114793,-122.219107
06105,California,CA,Trinity County,2020,12216,40.629983,-123.096381
06107,California,CA,Tulare County,2020,468680,36.254134,-119.234696
06109,California,CA,Tuolumne County,2020,54515,37.972,-120.32521
06111,California,CA,Ventura County,2020,841387,34.242809,-119.025487
06113,California,CA,Yolo County,2020,219728,38.598164,-121.71892
06115,California,CA,Yuba County,2020,80160,39.131906,-121.510516
08001,Colorado,CO,Adams County,2020,519883,39.876949,-104.920944
08003,Colorado,CO,Alamosa County,2020,16180,37.48189,-105.87763
08005,Colorado,CO,Arapahoe County,2020,657452,39.64658,-104.838559
08007,Colorado,CO,Archuleta County,2020,14196,37.240274,-107.089779
08009,Colorado,CO,Baca County,2020,3555,37.368106,-102.532064
08011,Colorado,CO,Bent County,2020,5356,38.072921,-103.165971
08013,Colorado,CO,Boulder County,2020,327171,40.062992,-105.180182
08014,Colorado,CO,Broomfield County,2020,72236,39.9399,-105.058124
08015,Colorado,CO,Chaffee County,2020,20661,38.676811,-106.08527
08017,Colorado,CO,Cheyenne County,2020,1795,38.817654,-102.470001
08019,Colorado,CO,Clear Creek County,2020,9586,39.71346,-105.532573
08021,Colorado,CO,Conejos County,2020,8143,37.199613,-105.987292
08023,Colorado,CO,Costilla County,2020,3921,37.29223,-105.444279
08025,Colorado,CO,Crowley County,2020,5696,38.193783,-103.856355
08027,Colorado,CO,Custer County,2020,5183,38.133547,-105.382812
08029,Colorado,CO,Delta County,2020,31067,38.798199,-107.913692
08031,Colorado,CO,Denver County,2020,735538,39.724861,-104.950015
08033,Colorado,CO,Dolores County,2020,2096,37.746935,-108.758813
08035,Colorado,CO,Douglas County,2020,360750,39.482024,-104.873586
08037,Colorado,CO,Eagle County,2020,54929,39.600476,-106.733174
08039,Colorado,CO,Elbert County,2020,27313,39.38855,-104.523223
08041,Colorado,CO,El Paso County,2020,728310,38.877316,-104.752127
08043,Colorado,CO,Fremont County,2020,47867,38.426951,-105.214307
08045,Colorado,CO,Garfield County,2020,60366,39.507105,-107.549067
08047,Colorado,CO,Gilpin County,2020,6235,39.856061,-105.483205
08049,Colorado,CO,Grand County,2020,15794,40.051143,-105.978558
08051,Colorado,CO,Gunnison County,2020,17593,38.659997,-106.944424
08053,Colorado,CO,Hinsdale County,2020,808,38.002552,-107.298793
08055,Colorado,CO,Huerfano County,2020,6883,37.612666,-104.887382
08057,Colorado,CO,Jackson County,2020,1389,40.690193,-106.295502
08059,Colorado,CO,Jefferson County,2020,583283,39.723693,-105.130295
08061,Colorado,CO,Kiowa County,2020,1458,38.470082,-102.700985
08063,Colorado,CO,Kit Carson County,2020,7121,39.310417,-102.462024
08065,Colorado,CO,Lake County,2020,7987,39.244814,-106.307469
08067,Colorado,CO,La Plata County,2020,56564,37.266023,-107.803956
08069,Colorado,CO,Larimer County,2020,360428,40.504402,-105.08913
08071,Colorado,CO,Las Animas County,2020,14420,37.192051,-104.501304
08073,Colorado,CO,Lincoln County,2020,5680,39.180055,-103.614154
08075,Colorado,CO,Logan County,2020,21974,40.64034,-103.185919
08077,Colorado,CO,Mesa County,2020,155603,39.092942,-108.546689
08079,Colorado,CO,Mineral County,2020,773,37.779132,-106.94204
08081,Colorado,CO,Moffat County,2020,13144,40.516061,-107.613846
08083,Colorado,CO,Montezuma County,2020,26408,37.371912,-108.554441
08085,Colorado,CO,Montrose County,2020,43322,38.481302,-107.922278
08087,Colorado,CO,Morgan County,2020,28941,40.254229,-103.789052
08089,Colorado,CO,Otero County,2020,18201,38.023243,-103.655869
08091,Colorado,CO,Ouray County,2020,5001,38.146045,-107.75195
08093,Colorado,CO,Park County,2020,18955,39.305735,-105.625115
08095,Colorado,CO,Phillips County,2020,4367,40.599357,-102.38593
08097,Colorado,CO,Pitkin County,2020,17894,39.231757,-106.908765
08099,Colorado,CO,Prowers County,2020,12106,38.083025,-102.54866
08101,Colorado,CO,Pueblo County,2020,169823,38.265772,-104.64696
08103,Colorado,CO,Rio Blanco County,2020,6342,40.05108,-108.268894
08105,Colorado,CO,Rio Grande County,2020,11296,37.61185,-106.242149
08107,Colorado,CO,Routt County,2020,25560,40.455505,-106.897433
08109,Colorado,CO,Saguache County,2020,6938,37.925349,-106.006053
08111,Colorado,CO,San Juan County,2020,748,37.801879,-107.673574
08113,Colorado,CO,San Miguel County,2020,8105,37.971821,-107.958247
08115,Colorado,CO,Sedgwick County,2020,2260,40.962163,-102.325647
08117,Colorado,CO,Summit County,2020,30631,39.572385,-106.055684
08119,Colorado,CO,Teller County,2020,25529,38.944783,-105.139848
08121,Colorado,CO,Washington County,2020,4875,40.098312,-103.157095
08123,Colorado,CO,Weld County,2020,333983,40.322425,-104.806872
08125,Colorado,CO,Yuma County,2020,10047,40.065852,-102.480926
09001,Connecticut,CT,Fairfield County,2020,942426,41.206023,-73.36713
09003,Connecticut,CT,Hartford County,2020,889226,41.761162,-72.717791
09005,Connecticut,CT,Litchfield County,2020,179610,41.726956,-73.19035
09007,Connecticut,CT,Middlesex County,2020,161657,41.479018,-72.571759
09009,Connecticut,CT,New Haven County,2020,851948,41.396593,-72.942352
09011,Connecticut,CT,New London County,2020,264999,41.443273,-72.097553
09013,Connecticut,CT,Tolland County,2020,150600,41.842276,-72.372996
09015,Connecticut,CT,Windham County,2020,116540,41.80508,-71.993439
10001,Delaware,DE,Kent County,2020,183643,39.127081,-75.55917
10003,Delaware,DE,New Castle County,2020,561531,39.678852,-75.635222
10005,Delaware,DE,Sussex County,2020,241635,38.66176,-75.331459
11000,District of Columbia,DC,District of Columbia,2020,712816,38.910168,-77.013993
12001,Florida,FL,Alachua County,2020,271218,29.664707,-82.391602
12003,Florida,FL,Baker County,2020,29566,30.286373,-82.184531
12005,Florida,FL,Bay County,2020,171322,30.212814,-85.670569
12007,Florida,FL,Bradford County,2020,28593,29.949895,-82.128277
12009,Florida,FL,Brevard County,2020,608459,28.225042,-80.690979
12011,Florida,FL,Broward County,2020,1958105,26.135402,-80.226949
12013,Florida,FL,Calhoun County,2020,14078,30.464333,-85.125851
12015,Florida,FL,Charlotte County,2020,194711,26.953853,-82.117329
12017,Florida,FL,Citrus County,2020,153010,28.865585,-82.455209
12019,Florida,FL,Clay County,2020,221770,30.087736,-81.80044
12021,Florida,FL,Collier County,2020,392973,26.203682,-81.692479
12023,Florida,FL,Columbia County,2020,72654,30.122016,-82.664469
12027,Florida,FL,DeSoto County,2020,38520,27.186804,-81.870477
12029,Florida,FL,Dixie County,2020,17057,29.634594,-83.058646
12031,Florida,FL,Duval County,2020,966728,30.29864,-81.620442
12033,Florida,FL,Escambia County,2020,322364,30.485634,-87.27718
12035,Florida,FL,Flagler County,2020,118451,29.521475,-81.222106
12037,Florida,FL,Franklin County,2020,12201,29.785968,-84.813126
12039,Florida,FL,Gadsden County,2020,45277,30.593633,-84.571757
12041,Florida,FL,Gilchrist County,2020,18885,29.705264,-82.808101
12043,Florida,FL,Glades County,2020,14198,26.897006,-81.189448
12045,Florida,FL,Gulf County,2020,13534,29.955613,-85.259664
12047,Florida,FL,Hamilton County,2020,14521,30.50144,-82.999092
12049,Florida,FL,Hardee County,2020,26822,27.548142,-81.816978
12051,Florida,FL,Hendry County,2020,42813,26.726563,-81.216152
12053,Florida,FL,Hernando County,2020,198792,28.504443,-82.496995
12055,Florida,FL,Highlands County,2020,106639,27.462624,-81.444871
12057,Florida,FL,Hillsborough County,2020,1497957,27.96726,-82.398619
12059,Florida,FL,Holmes County,2020,19594,30.847038,-85.754653
12061,Florida,FL,Indian River County,2020,162518,27.671333,-80.440768
12063,Florida,FL,Jackson County,2020,46085,30.797259,-85.219084
12065,Florida,FL,Jefferson County,2020,14543,30.502892,-83.891299
12067,Florida,FL,Lafayette County,2020,8482,30.063592,-83.176456
12069,Florida,FL,Lake County,2020,375492,28.716924,-81.7506
12071,Florida,FL,Lee County,2020,790767,26.576017,-81.85184
12073,Florida,FL,Leon County,2020,295460,30.466108,-84.269671
12075,Florida,FL,Levy County,2020,42214,29.380119,-82.662984
12077,Florida,FL,Liberty County,2020,8364,30.39911,-84.90713
12079,Florida,FL,Madison County,2020,18707,30.47236,-83.425936
12081,Florida,FL,Manatee County,2020,411219,27.478311,-82.520483
12083,Florida,FL,Marion County,2020,373513,29.135819,-82.126138
12085,Florida,FL,Martin County,2020,162088,27.145898,-80.245701
12086,Florida,FL,Miami-Dade County,2020,2707303,25.769325,-80.30111
12087,Florida,FL,Monroe County,2020,73900,24.747401,-81.24383
12089,Florida,FL,Nassau County,2020,91113,30.608372,-81.634341
12091,Florida,FL,Okaloosa County,2020,212820,30.551646,-86.565568
12093,Florida,FL,Okeechobee County,2020,42297,27.271891,-80.824313
12095,Florida,FL,Orange County,2020,1404396,28.526082,-81.388366
12097,Florida,FL,Osceola County,2020,385315,28.269074,-81.390344
12099,Florida,FL,Palm Beach County,2020,1507600,26.616525,-80.143702
12101,Florida,FL,Pasco County,2020,570412,28.258252,-82.51019
12103,Florida,FL,Pinellas County,2020,976802,27.900191,-82.727034
12105,Florida,FL,Polk County,2020,744552,28.042488,-81.786832
12107,Florida,FL,Putnam County,2020,74815,29.609235,-81.72124
12109,Florida,FL,St. Johns County,2020,278715,29.99184,-81.43489
12111,Florida,FL,St. Lucie County,2020,337186,27.333588,-80.357159
12113,Florida,FL,Santa Rosa County,2020,189139,30.547199,-87.035832
12115,Florida,FL,Sarasota County,2020,443465,27.201163,-82.41616
12117,Florida,FL,Seminole County,2020,474171,28.699155,-81.310086
12119,Florida,FL,Sumter County,2020,139018,28.83353,-82.024796
12121,Florida,FL,Suwannee County,2020,44851,30.213663,-82.985172
12123,Florida,FL,Taylor County,2020,21600,30.056856,-83.590401
12125,Florida,FL,Union County,2020,15182,30.011441,-82.357657
12127,Florida,FL,Volusia County,2020,561497,29.072352,-81.126184
12129,Florida,FL,Wakulla County,2020,34319,30.187399,-84.332863
12131,Florida,FL,Walton County,2020,76648,30.543784,-86.190165
12133,Florida,FL,Washington County,2020,25932,30.649416,-85.623803
13001,Georgia,GA,Appling County,2020,18325,31.770717,-82.33877
13003,Georgia,GA,Atkinson County,2020,8393,31.317512,-82.878129
13005,Georgia,GA,Bacon County,2020,11036,31.547069,-82.466119
13007,Georgia,GA,Baker County,2020,2971,31.310957,-84.433595
13009,Georgia,GA,Baldwin County,2020,45099,33.085484,-83.243625
13011,Georgia,GA,Banks County,2020,19352,34.34914,-83.507464
13013,Georgia,GA,Barrow County,2020,85588,33.992493,-83.72861
13015,Georgia,GA,Bartow County,2020,109426,34.208544,-84.829166
13017,Georgia,GA,Ben Hill County,2020,16614,31.727139,-83.248146
13019,Georgia,GA,Berrien County,2020,19408,31.233515,-83.251813
13021,Georgia,GA,Bibb County,2020,152737,32.834626,-83.690073
13023,Georgia,GA,Bleckley County,2020,12955,32.401504,-83.332162
13025,Georgia,GA,Brantley County,2020,19202,31.217236,-81.969977
13027,Georgia,GA,Brooks County,2020,15357,30.841116,-83.542249
13029,Georgia,GA,Bryan County,2020,40755,31.958721,-81.353536
13031,Georgia,GA,Bulloch County,2020,80839,32.415279,-81.762387
13033,Georgia,GA,Burke County,2020,22648,33.103217,-82.002375
13035,Georgia,GA,Butts County,2020,25426,33.294832,-83.972952
13037,Georgia,GA,Calhoun County,2020,6231,31.526139,-84.662959
13039,Georgia,GA,Camden County,2020,55388,30.812592,-81.631432
