county_fips,county_name,state_name,weather_source,county_pop_lat,county_pop_lon,selected_gid,grid_lat,grid_lon,distance_km
01105,Perry County,Alabama,bchrrr,32.584881,-87.369649,1780942,32.582474,-87.36554,0.468881
01105,Perry County,Alabama,nsrdb,32.584881,-87.369649,908734,32.57,-87.38,1.917994
01107,Pickens County,Alabama,wtk,33.284667,-88.074316,1738501,33.283722,-88.0636,1.001628
01107,Pickens County,Alabama,bchrrr,33.284667,-88.074316,1738501,33.283722,-88.0636,1.001628
01107,Pickens County,Alabama,nsrdb,33.284667,-88.074316,894109,33.29,-88.06,1.456841
01109,Pike County,Alabama,wtk,31.786042,-85.947008,1860503,31.783459,-85.94324,0.457532
01109,Pike County,Alabama,bchrrr,31.786042,-85.947008,1860503,31.783459,-85.94324,0.457532
01109,Pike County,Alabama,nsrdb,31.786042,-85.947008,937859,31.77,-85.94,1.902824
01111,Randolph County,Alabama,wtk,33.264692,-85.427417,1874344,33.266937,-85.43286,0.564279
01111,Randolph County,Alabama,bchrrr,33.264692,-85.427417,1874344,33.266937,-85.43286,0.564279
01111,Randolph County,Alabama,nsrdb,33.264692,-85.427417,948533,33.25,-85.42,1.773282
01113,Russell County,Alabama,wtk,32.414913,-85.054581,1900841,32.415142,-85.04553,0.849994
01113,Russell County,Alabama,bchrrr,32.414913,-85.054581,1900841,32.415142,-85.04553,0.849994
01113,Russell County,Alabama,nsrdb,32.414913,-85.054581,956003,32.41,-85.06,0.746468
01115,Shelby County,Alabama,wtk,33.660945,-86.374851,1825608,33.659595,-86.36459,0.961467
01115,Shelby County,Alabama,bchrrr,33.660945,-86.374851,1825608,33.659595,-86.36459,0.961467
01115,Shelby County,Alabama,nsrdb,33.660945,-86.374851,929081,33.65,-86.38,1.307015
01117,St. Clair County,Alabama,wtk,33.290341,-86.738928,1808618,33.293415,-86.746826,0.809768
01117,St. Clair County,Alabama,bchrrr,33.290341,-86.738928,1808618,33.293415,-86.746826,0.809768
01117,St. Clair County,Alabama,nsrdb,33.290341,-86.738928,921916,33.29,-86.74,0.106611
01119,Sumter County,Alabama,wtk,32.570981,-88.230913,1733701,32.5664,-88.2348,0.626218
01119,Sumter County,Alabama,bchrrr,32.570981,-88.230913,1733701,32.5664,-88.2348,0.626218
01119,Sumter County,Alabama,nsrdb,32.570981,-88.230913,890599,32.57,-88.22,1.02843
01121,Talladega County,Alabama,wtk,33.376934,-86.165683,1837762,33.381832,-86.1629,0.602828
01121,Talladega County,Alabama,bchrrr,33.376934,-86.165683,1837762,33.381832,-86.1629,0.602828
01121,Talladega County,Alabama,nsrdb,33.376934,-86.165683,932995,33.37,-86.18,1.536868
01123,Tallapoosa County,Alabama,wtk,32.851729,-85.864067,1856296,32.855434,-85.86914,0.627917
01123,Tallapoosa County,Alabama,bchrrr,32.851729,-85.864067,1856296,32.855434,-85.86914,0.627917
01123,Tallapoosa County,Alabama,nsrdb,32.851729,-85.864067,939475,32.85,-85.86,0.425788
01125,Tuscaloosa County,Alabama,wtk,33.214812,-87.518454,1768075,33.219006,-87.52399,0.694767
01125,Tuscaloosa County,Alabama,bchrrr,33.214812,-87.518454,1768075,33.219006,-87.52399,0.694767
01125,Tuscaloosa County,Alabama,nsrdb,33.214812,-87.518454,906198,33.21,-87.5,1.798242
01127,Walker County,Alabama,wtk,33.834208,-87.25056,1778672,33.835987,-87.24603,0.462812
01127,Walker County,Alabama,bchrrr,33.834208,-87.25056,1778672,33.835987,-87.24603,0.462812
01127,Walker County,Alabama,nsrdb,33.834208,-87.25056,911226,33.85,-87.26,1.960514
01129,Washington County,Alabama,wtk,31.413666,-88.195339,1743151,31.41515,-88.19531,0.165036
01129,Washington County,Alabama,bchrrr,31.413666,-88.195339,1743151,31.41515,-88.19531,0.165036
01129,Washington County,Alabama,nsrdb,31.413666,-88.195339,891513,31.41,-88.18,1.511652
01131,Wilcox County,Alabama,wtk,32.007448,-87.376931,1784411,31.998974,-87.37543,0.952838
01131,Wilcox County,Alabama,bchrrr,32.007448,-87.376931,1784411,31.998974,-87.37543,0.952838
01131,Wilcox County,Alabama,nsrdb,32.007448,-87.376931,908748,32.01,-87.38,0.405294
01133,Winston County,Alabama,wtk,34.164348,-87.415688,1766950,34.164425,-87.42462,0.821843
01133,Winston County,Alabama,bchrrr,34.164348,-87.415688,1766950,34.164425,-87.42462,0.821843
01133,Winston County,Alabama,nsrdb,34.164348,-87.415688,907854,34.17,-87.42,0.743213
02013,Aleutians East Borough,Alaska,wtk,54.673912,-163.737687,79706,46.56967,-129.22923,2564.612498
02013,Aleutians East Borough,Alaska,bchrrr,54.673912,-163.737687,79706,46.56967,-129.22923,2564.612498
02013,Aleutians East Borough,Alaska,nsrdb,54.673912,-163.737687,12554,54.69,-163.74,1.795075
02016,Aleutians West Census Area,Alaska,wtk,54.024464,-152.161888,79706,46.56967,-129.22923,1816.482801
02016,Aleutians West Census Area,Alaska,bchrrr,54.024464,-152.161888,79706,46.56967,-129.22923,1816.482801
02016,Aleutians West Census Area,Alaska,nsrdb,54.024464,-152.161888,36973,56.33,-153.7,274.320024
02020,Anchorage Municipality,Alaska,wtk,61.191545,-149.792112,79706,46.56967,-129.22923,2093.29701
02020,Anchorage Municipality,Alaska,bchrrr,61.191545,-149.792112,79706,46.56967,-129.22923,2093.29701
02020,Anchorage Municipality,Alaska,nsrdb,61.191545,-149.792112,41703,59.97,-149.78,135.831405
02050,Bethel Census Area,Alaska,wtk,60.667715,-162.166966,79706,46.56967,-129.22923,2633.971816
02050,Bethel Census Area,Alaska,bchrrr,60.667715,-162.166966,79706,46.56967,-129.22923,2633.971816
02050,Bethel Census Area,Alaska,nsrdb,60.667715,-162.166966,14226,59.97,-162.18,77.585794
02060,Bristol Bay Borough,Alaska,wtk,58.733607,-156.832147,79706,46.56967,-129.22923,2274.684696
02060,Bristol Bay Borough,Alaska,bchrrr,58.733607,-156.832147,79706,46.56967,-129.22923,2274.684696
02060,Bristol Bay Borough,Alaska,nsrdb,58.733607,-156.832147,28447,58.73,-156.82,0.807688
02068,Denali Borough,Alaska,wtk,63.865119,-149.023745,79706,46.56967,-129.22923,2275.503314
02068,Denali Borough,Alaska,bchrrr,63.865119,-149.023745,79706,46.56967,-129.22923,2275.503314
02068,Denali Borough,Alaska,nsrdb,63.865119,-149.023745,42252,59.97,-149.02,433.118114
02070,Dillingham Census Area,Alaska,wtk,59.127771,-158.747157,79706,46.56967,-129.22923,2392.938137
02070,Dillingham Census Area,Alaska,bchrrr,59.127771,-158.747157,79706,46.56967,-129.22923,2392.938137
02070,Dillingham Census Area,Alaska,nsrdb,59.127771,-158.747157,22642,59.13,-158.74,0.477678
02090,Fairbanks North Star Borough,Alaska,wtk,64.831229,-147.623589,79706,46.56967,-129.22923,2315.151244
02090,Fairbanks North Star Borough,Alaska,bchrrr,64.831229,-147.623589,79706,46.56967,-129.22923,2315.151244
02090,Fairbanks North Star Borough,Alaska,nsrdb,64.831229,-147.623589,43024,59.97,-147.62,540.54478
02100,Haines Borough,Alaska,wtk,59.234183,-135.497713,108518,46.953938,-128.55418,1440.200199
02100,Haines Borough,Alaska,bchrrr,59.234183,-135.497713,108518,46.953938,-128.55418,1440.200199
02100,Haines Borough,Alaska,nsrdb,59.234183,-135.497713,54817,59.25,-135.5,1.763574
