County_FIPS,Year,Population
42103,2057,56072
42103,2058,56072
42103,2059,56072
42103,2060,56072
42103,2061,56072
42103,2062,56072
42103,2063,56072
42103,2064,56072
42103,2065,56072
42103,2066,56072
42103,2067,56072
42103,2068,56072
42103,2069,56072
42103,2070,56072
42103,2071,56072
42103,2072,56072
42103,2073,56072
42103,2074,56072
42103,2075,56072
42103,2076,56072
42103,2077,56072
42103,2078,56072
42103,2079,56072
42103,2080,56072
42103,2081,56072
42103,2082,56072
42103,2083,56072
42103,2084,56072
42103,2085,56072
42103,2086,56072
42103,2087,56072
42103,2088,56072
42103,2089,56072
42103,2090,56072
42103,2091,56072
42103,2092,56072
42103,2093,56072
42103,2094,56072
42103,2095,56072
42103,2096,56072
42103,2097,56072
42103,2098,56072
42103,2099,56072
42105,2000,16453
42105,2001,16453
42105,2002,16453
42105,2003,16453
42105,2004,16453
42105,2005,16453
42105,2006,16453
42105,2007,16453
42105,2008,16453
42105,2009,16453
42105,2010,16453
42105,2011,16453
42105,2012,16453
42105,2013,16453
42105,2014,16453
42105,2015,16453
42105,2016,16453
42105,2017,16453
42105,2018,16453
42105,2019,16453
42105,2020,16453
42105,2021,16453
42105,2022,16453
42105,2023,16453
42105,2024,16453
42105,2025,16453
42105,2026,16453
42105,2027,16453
42105,2028,16453
42105,2029,16453
42105,2030,16453
42105,2031,16453
42105,2032,16453
42105,2033,16453
42105,2034,16453
42105,2035,16453
42105,2036,16453
42105,2037,16453
42105,2038,16453
42105,2039,16453
42105,2040,16453
42105,2041,16453
42105,2042,16453
42105,2043,16453
42105,2044,16453
42105,2045,16453
42105,2046,16453
42105,2047,16453
42105,2048,16453
42105,2049,16453
42105,2050,16453
42105,2051,16453
42105,2052,16453
42105,2053,16453
42105,2054,16453
42105,2055,16453
42105,2056,16453
42105,2057,16453
42105,2058,16453
42105,2059,16453
42105,2060,16453
42105,2061,16453
42105,2062,16453
42105,2063,16453
42105,2064,16453
42105,2065,16453
42105,2066,16453
42105,2067,16453
42105,2068,16453
42105,2069,16453
42105,2070,16453
42105,2071,16453
42105,2072,16453
42105,2073,16453
42105,2074,16453
42105,2075,16453
42105,2076,16453
42105,2077,16453
42105,2078,16453
42105,2079,16453
42105,2080,16453
42105,2081,16453
42105,2082,16453
42105,2083,16453
42105,2084,16453
42105,2085,16453
42105,2086,16453
42105,2087,16453
42105,2088,16453
42105,2089,16453
42105,2090,16453
42105,2091,16453
42105,2092,16453
42105,2093,16453
42105,2094,16453
42105,2095,16453
42105,2096,16453
42105,2097,16453
42105,2098,16453
42105,2099,16453
42107,2000,140709
42107,2001,140709
42107,2002,140709
42107,2003,140709
42107,2004,140709
42107,2005,140709
42107,2006,140709
42107,2007,140709
42107,2008,140709
42107,2009,140709
42107,2010,140709
42107,2011,140709
42107,2012,140709
42107,2013,140709
42107,2014,140709
42107,2015,140709
42107,2016,140709
42107,2017,140709
42107,2018,140709
42107,2019,140709
42107,2020,140709
42107,2021,140709
42107,2022,140709
42107,2023,140709
42107,2024,140709
42107,2025,140709
42107,2026,140709
42107,2027,140709
42107,2028,140709
42107,2029,140709
42107,2030,140709
42107,2031,140709
42107,2032,140709
42107,2033,140709
42107,2034,140709
42107,2035,140709
42107,2036,140709
42107,2037,140709
42107,2038,140709
42107,2039,140709
42107,2040,140709
42107,2041,140709
42107,2042,140709
42107,2043,140709
42107,2044,140709
42107,2045,140709
42107,2046,140709
42107,2047,140709
42107,2048,140709
42107,2049,140709
42107,2050,140709
42107,2051,140709
42107,2052,140709
42107,2053,140709
42107,2054,140709
42107,2055,140709
42107,2056,140709
42107,2057,140709
42107,2058,140709
42107,2059,140709
42107,2060,140709
42107,2061,140709
42107,2062,140709
42107,2063,140709
42107,2064,140709
42107,2065,140709
42107,2066,140709
42107,2067,140709
42107,2068,140709
42107,2069,140709
42107,2070,140709
42107,2071,140709
42107,2072,140709
42107,2073,140709
42107,2074,140709
42107,2075,140709
42107,2076,140709
42107,2077,140709
42107,2078,140709
42107,2079,140709
42107,2080,140709
42107,2081,140709
42107,2082,140709
42107,2083,140709
42107,2084,140709
42107,2085,140709
42107,2086,140709
42107,2087,140709
42107,2088,140709
42107,2089,140709
42107,2090,140709
42107,2091,140709
42107,2092,140709
42107,2093,140709
42107,2094,140709
42107,2095,140709
42107,2096,140709
42107,2097,140709
42107,2098,140709
42107,2099,140709
42109,2000,40317
42109,2001,40317
42109,2002,40317
42109,2003,40317
42109,2004,40317
42109,2005,40317
42109,2006,40317
42109,2007,40317
42109,2008,40317
42109,2009,40317
42109,2010,40317
42109,2011,40317
42109,2012,40317
42109,2013,40317
42109,2014,40317
42109,2015,40317
42109,2016,40317
42109,2017,40317
42109,2018,40317
42109,2019,40317
42109,2020,40317
42109,2021,40317
42109,2022,40317
42109,2023,40317
42109,2024,40317
42109,2025,40317
42109,2026,40317
42109,2027,40317
42109,2028,40317
42109,2029,40317
42109,2030,40317
42109,2031,40317
42109,2032,40317
42109,2033,40317
42109,2034,40317
42109,2035,40317
42109,2036,40317
42109,2037,40317
42109,2038,40317
42109,2039,40317
42109,2040,40317
42109,2041,40317
42109,2042,40317
42109,2043,40317
42109,2044,40317
42109,2045,40317
42109,2046,40317
42109,2047,40317
42109,2048,40317
42109,2049,40317
42109,2050,40317
42109,2051,40317
42109,2052,40317
42109,2053,40317
42109,2054,40317
42109,2055,40317
42109,2056,40317
42109,2057,40317
42109,2058,40317
42109,2059,40317
42109,2060,40317
42109,2061,40317
42109,2062,40317
42109,2063,40317
42109,2064,40317
42109,2065,40317
42109,2066,40317
42109,2067,40317
42109,2068,40317
42109,2069,40317
42109,2070,40317
42109,2071,40317
42109,2072,40317
42109,2073,40317
42109,2074,40317
42109,2075,40317
42109,2076,40317
42109,2077,40317
42109,2078,40317
42109,2079,40317
42109,2080,40317
42109,2081,40317
42109,2082,40317
42109,2083,40317
42109,2084,40317
42109,2085,40317
42109,2086,40317
42109,2087,40317
42109,2088,40317
42109,2089,40317
42109,2090,40317
42109,2091,40317
42109,2092,40317
42109,2093,40317
42109,2094,40317
42109,2095,40317
42109,2096,40317
42109,2097,40317
42109,2098,40317
42109,2099,40317
42111,2000,72916
42111,2001,72916
42111,2002,72916
42111,2003,72916
42111,2004,72916
42111,2005,72916
42111,2006,72916
42111,2007,72916
42111,2008,72916
42111,2009,72916
42111,2010,72916
42111,2011,72916
42111,2012,72916
42111,2013,72916
42111,2014,72916
42111,2015,72916
42111,2016,72916
42111,2017,72916
42111,2018,72916
42111,2019,72916
42111,2020,72916
42111,2021,72916
42111,2022,72916
42111,2023,72916
42111,2024,72916
42111,2025,72916
42111,2026,72916
42111,2027,72916
42111,2028,72916
42111,2029,72916
42111,2030,72916
42111,2031,72916
42111,2032,72916
42111,2033,72916
42111,2034,72916
42111,2035,72916
42111,2036,72916
42111,2037,72916
42111,2038,72916
42111,2039,72916
42111,2040,72916
42111,2041,72916
42111,2042,72916
42111,2043,72916
42111,2044,72916
42111,2045,72916
42111,2046,72916
42111,2047,72916
42111,2048,72916
42111,2049,72916
42111,2050,72916
42111,2051,72916
42111,2052,72916
42111,2053,72916
42111,2054,72916
42111,2055,72916
42111,2056,72916
42111,2057,72916
42111,2058,72916
42111,2059,72916
42111,2060,72916
42111,2061,72916
42111,2062,72916
42111,2063,72916
42111,2064,72916
42111,2065,72916
42111,2066,72916
42111,2067,72916
42111,2068,72916
42111,2069,72916
42111,2070,72916
42111,2071,72916
42111,2072,72916
42111,2073,72916
42111,2074,72916
42111,2075,72916
42111,2076,72916
42111,2077,72916
42111,2078,72916
42111,2079,72916
42111,2080,72916
42111,2081,72916
42111,2082,72916
42111,2083,72916
42111,2084,72916
42111,2085,72916
42111,2086,72916
42111,2087,72916
42111,2088,72916
42111,2089,72916
42111,2090,72916
42111,2091,72916
42111,2092,72916
42111,2093,72916
42111,2094,72916
42111,2095,72916
42111,2096,72916
42111,2097,72916
42111,2098,72916
42111,2099,72916
42113,2000,5913
42113,2001,5913
42113,2002,5913
42113,2003,5913
42113,2004,5913
42113,2005,5913
42113,2006,5913
42113,2007,5913
42113,2008,5913
42113,2009,5913
42113,2010,5913
42113,2011,5913
42113,2012,5913
42113,2013,5913
42113,2014,5913
42113,2015,5913
42113,2016,5913
42113,2017,5913
42113,2018,5913
42113,2019,5913
42113,2020,5913
42113,2021,5913
42113,2022,5913
42113,2023,5913
42113,2024,5913
42113,2025,5913
42113,2026,5913
42113,2027,5913
42113,2028,5913
42113,2029,5913
42113,2030,5913
42113,2031,5913
42113,2032,5913
42113,2033,5913
42113,2034,5913
42113,2035,5913
42113,2036,5913
42113,2037,5913
42113,2038,5913
42113,2039,5913
42113,2040,5913
42113,2041,5913
42113,2042,5913
42113,2043,5913
42113,2044,5913
42113,2045,5913
42113,2046,5913
42113,2047,5913
42113,2048,5913
42113,2049,5913
42113,2050,5913
42113,2051,5913
42113,2052,5913
42113,2053,5913
42113,2054,5913
42113,2055,5913
42113,2056,5913
42113,2057,5913
42113,2058,5913
42113,2059,5913
42113,2060,5913
42113,2061,5913
42113,2062,5913
42113,2063,5913
42113,2064,5913
42113,2065,5913
42113,2066,5913
42113,2067,5913
42113,2068,5913
42113,2069,5913
42113,2070,5913
42113,2071,5913
42113,2072,5913
42113,2073,5913
42113,2074,5913
42113,2075,5913
42113,2076,5913
42113,2077,5913
42113,2078,5913
42113,2079,5913
42113,2080,5913
42113,2081,5913
42113,2082,5913
42113,2083,5913
42113,2084,5913
42113,2085,5913
42113,2086,5913
42113,2087,5913
42113,2088,5913
42113,2089,5913
42113,2090,5913
42113,2091,5913
42113,2092,5913
42113,2093,5913
42113,2094,5913
42113,2095,5913
42113,2096,5913
42113,2097,5913
42113,2098,5913
42113,2099,5913
42115,2000,40006
42115,2001,40006
42115,2002,40006
42115,2003,40006
42115,2004,40006
42115,2005,40006
42115,2006,40006
42115,2007,40006
42115,2008,40006
42115,2009,40006
42115,2010,40006
42115,2011,40006
42115,2012,40006
42115,2013,40006
42115,2014,40006
42115,2015,40006
42115,2016,40006
42115,2017,40006
42115,2018,40006
42115,2019,40006
42115,2020,40006
42115,2021,40006
42115,2022,40006
42115,2023,40006
42115,2024,40006
42115,2025,40006
42115,2026,40006
42115,2027,40006
42115,2028,40006
42115,2029,40006
42115,2030,40006
42115,2031,40006
42115,2032,40006
42115,2033,40006
42115,2034,40006
42115,2035,40006
42115,2036,40006
42115,2037,40006
42115,2038,40006
42115,2039,40006
42115,2040,40006
42115,2041,40006
42115,2042,40006
42115,2043,40006
42115,2044,40006
42115,2045,40006
42115,2046,40006
42115,2047,40006
42115,2048,40006
42115,2049,40006
42115,2050,40006
42115,2051,40006
42115,2052,40006
42115,2053,40006
42115,2054,40006
42115,2055,40006
42115,2056,40006
42115,2057,40006
42115,2058,40006
42115,2059,40006
42115,2060,40006
42115,2061,40006
42115,2062,40006
42115,2063,40006
42115,2064,40006
42115,2065,40006
42115,2066,40006
42115,2067,40006
42115,2068,40006
42115,2069,40006
42115,2070,40006
42115,2071,40006
42115,2072,40006
42115,2073,40006
42115,2074,40006
42115,2075,40006
42115,2076,40006
42115,2077,40006
42115,2078,40006
42115,2079,40006
42115,2080,40006
42115,2081,40006
42115,2082,40006
42115,2083,40006
42115,2084,40006
42115,2085,40006
42115,2086,40006
42115,2087,40006
42115,2088,40006
42115,2089,40006
42115,2090,40006
42115,2091,40006
42115,2092,40006
42115,2093,40006
42115,2094,40006
42115,2095,40006
42115,2096,40006
42115,2097,40006
42115,2098,40006
42115,2099,40006
42117,2000,40381
42117,2001,40381
42117,2002,40381
42117,2003,40381
42117,2004,40381
42117,2005,40381
42117,2006,40381
42117,2007,40381
42117,2008,40381
42117,2009,40381
42117,2010,40381
42117,2011,40381
42117,2012,40381
42117,2013,40381
42117,2014,40381
42117,2015,40381
42117,2016,40381
42117,2017,40381
42117,2018,40381
42117,2019,40381
42117,2020,40381
42117,2021,40381
42117,2022,40381
42117,2023,40381
42117,2024,40381
42117,2025,40381
42117,2026,40381
42117,2027,40381
42117,2028,40381
42117,2029,40381
42117,2030,40381
42117,2031,40381
42117,2032,40381
42117,2033,40381
42117,2034,40381
42117,2035,40381
42117,2036,40381
42117,2037,40381
42117,2038,40381
42117,2039,40381
42117,2040,40381
42117,2041,40381
42117,2042,40381
42117,2043,40381
42117,2044,40381
42117,2045,40381
42117,2046,40381
42117,2047,40381
42117,2048,40381
42117,2049,40381
42117,2050,40381
42117,2051,40381
42117,2052,40381
42117,2053,40381
42117,2054,40381
42117,2055,40381
42117,2056,40381
42117,2057,40381
42117,2058,40381
42117,2059,40381
42117,2060,40381
42117,2061,40381
42117,2062,40381
42117,2063,40381
42117,2064,40381
42117,2065,40381
42117,2066,40381
42117,2067,40381
42117,2068,40381
42117,2069,40381
42117,2070,40381
42117,2071,40381
42117,2072,40381
42117,2073,40381
42117,2074,40381
42117,2075,40381
42117,2076,40381
42117,2077,40381
42117,2078,40381
42117,2079,40381
42117,2080,40381
